Game,Year,Genre,Publisher,North_America_Sales_M$,Europe_Sales_M$,Japan_Sales_M$,Other_Sales_M$,Global_Sales_M$
Killing Floor 2Ê,2018,Shooter,Tripwire Interactive,0.19,0.03,0,0.05,0.27
Robinson: The Journey,2018,Action-Adventure,Sony Interactive Entertainment,0.14,0.09,0,0.05,0.27
DriveClub VR,2018,Racing,Sony Interactive Entertainment,0.12,0.09,0.01,0.04,0.27
Fate/Extella: The Umbral Star,2018,Action,PQube,0.12,0,0.12,0.03,0.27
Ultimate Marvel vs. Capcom 3,2019,Fighting,Capcom,0.19,0,0.02,0.04,0.26
New Danganronpa V3: Minna no Koroshiai Shin Gakki,2019,Adventure,NIS America,0.09,0.05,0.07,0.03,0.25
Samurai Warriors 4,2016,Fighting,Tecmo Koei,0.08,0.07,0.06,0.03,0.25
Darksiders III,2020,Action,THQ Nordic,0.13,0.07,0,0.04,0.25
NBA Live 15,2016,Sports,Electronic Arts,0.16,0.04,0,0.04,0.25
NBA Live 18,2019,Sports,EA Sports,0.2,0,0,0.05,0.24
Tearaway Unfolded,2017,Platform,Sony Computer Entertainment,0.07,0.13,0,0.04,0.24
.hack//G.U. Last Recode,2019,Role-Playing,Namco Bandai Games,0.1,0.04,0.08,0.03,0.24
Ride,2017,Racing,Milestone S.r.l.,0.04,0.13,0.03,0.03,0.24
Just Dance 2017,2018,Misc,Ubisoft,0.08,0.12,0,0.04,0.24
The Escapists 2,2019,Action,Sold Out,0.04,0.16,0,0.04,0.24
Transformers: Devastation,2017,Action,Activision,0.11,0.09,0,0.04,0.24
Darksiders II,2017,Action-Adventure,Nordic Games,0.1,0.1,0,0.04,0.24
Jikkyou Powerful Pro Baseball 2018,2018,Sports,Konami Digital Entertainment,0,0,0.24,0,0.24
The Elder Scrolls Online: Morrowind,2019,MMO,Bethesda Softworks,0.11,0.09,0,0.04,0.24
Digimon World: Next Order,2019,Role-Playing,Namco Bandai Games,0.13,0.05,0.02,0.04,0.24
theHunter: Call of the Wild,2019,Shooter,Astragon,0.19,0,0,0.04,0.24
Tony Hawk's Pro Skater 5,2017,Sports,Activision,0.11,0.08,0,0.04,0.23
Angry Birds: Star Wars,2015,Puzzle,Activision,0.11,0.09,0,0.04,0.23
Elex,2019,Role-Playing,THQ Nordic,0.03,0.16,0,0.04,0.23
RIGS: Mechanized Combat League,2018,Action,Sony Interactive Entertainment,0.11,0.06,0.02,0.04,0.23
Transformer: Rise of the Dark Spark,2016,Shooter,Activision,0.08,0.11,0.01,0.04,0.23
Dead Island Definitive Collection,2018,Action,Deep Silver,0.09,0.08,0.03,0.03,0.23
Metal Gear Survive,2020,Action,Konami Digital Entertainment,0.08,0.06,0.05,0.03,0.23
Singstar Celebration,2019,Music,Sony Interactive Entertainment,0.04,0.15,0,0.03,0.23
Dead by Daylight,2019,Action,505 Games,0.11,0.06,0.02,0.04,0.22
Attack on Titan 2,2020,Action,Koei Tecmo,0.09,0.04,0.06,0.03,0.22
The Wolf Among Us,2016,Adventure,Telltale Games,0.11,0.07,0,0.04,0.22
Micro Machines: World Series,2019,Racing,Codemasters,0.03,0.16,0,0.03,0.22
Bladestorm: Nightmare,2017,Action,Tecmo Koei,0.11,0.04,0.03,0.03,0.22
Zombie Army Trilogy,2017,Shooter,Rebellion Developments,0.06,0.13,0,0.03,0.22
Outlast Trinity,2019,Action,Warner Bros. Interactive Entertainment,0.09,0.09,0,0.04,0.22
EVE: Valkyrie,2018,Shooter,Sony Interactive Entertainment,0.11,0.06,0,0.04,0.21
Senran Kagura: Peach Beach Splash,2019,Action,PQube,0.09,0.02,0.08,0.02,0.21
Ys VIII: Lacrimosa of Dana,2019,Role-Playing,NIS America,0.08,0.04,0.08,0.02,0.21
Bound By Flame,2016,Action,Focus Home Interactive,0.08,0.09,0,0.04,0.21
NBA Live 16,2017,Sports,EA Sports,0.13,0.05,0,0.04,0.21
7 Days to Die,2018,Action,Telltale Games,0.09,0.08,0,0.03,0.21
Dynasty Warriors 8: Empires,2016,Misc,Tecmo Koei,0.07,0.07,0.04,0.03,0.21
Dragon's Dogma,2019,Role-Playing,Capcom,0.07,0.07,0.03,0.03,0.21
Godzilla (2015),2016,Action,Namco Bandai Games,0.11,0.03,0.03,0.03,0.2
Eagle Flight,2018,Adventure,Ubisoft,0.09,0.08,0,0.03,0.2
Agents of Mayhem,2019,Action,Deep Silver,0.08,0.08,0,0.03,0.2
MotoGP 14Ê,2016,Racing,Milestone S.r.l.,0.05,0.11,0,0.03,0.2
Elite: Dangerous,2019,Simulation,Frontier Developments,0.06,0.1,0,0.03,0.19
Singstar: Ultimate Party,2016,Music,Sony Computer Entertainment,0,0.16,0,0.03,0.19
Toukiden Kiwami,2017,Action,Tecmo Koei,0.06,0.07,0.03,0.03,0.19
Batman: A Telltale Game Series,2018,Adventure,Telltale Games,0.09,0.07,0,0.03,0.19
The Surge,2019,Action,Koch Media,0.07,0.08,0.01,0.03,0.19
MotoGP 15,2017,Racing,Milestone S.r.l.,0,0.13,0.04,0.02,0.18
Resident Evil: Revelations,2019,Action,Capcom,0.06,0.06,0.04,0.02,0.18
Senran Kagura: Estival Versus,2017,Action,Marvelous Interactive,0.08,0,0.09,0.02,0.18
Back to the Future: The Game,2017,Adventure,Telltale Games,0.1,0.05,0,0.03,0.18
The Walking Dead - The Telltale Series: A New Frontier,2019,Adventure,Warner Bros. Interactive Entertainment,0.11,0.04,0,0.03,0.17
Resident Evil 6,2018,Shooter,Capcom,0.1,0,0.05,0.02,0.17
Final Fantasy XIV: Heavensward,2017,MMO,Square Enix,0,0.09,0.06,0.02,0.17
Final Fantasy XIV: Stormblood,2019,MMO,Square Enix,0.05,0.06,0.04,0.02,0.17
Guilty Gear Xrd: Sign,2016,Fighting,Arc System Works,0.11,0,0.04,0.02,0.17
Prototype: Biohazard Bundle,2018,Action,Activision,0.14,0,0,0.03,0.17
BlazBlue Central Fiction,2018,Fighting,PQube,0.1,0,0.05,0.02,0.17
MXGP 3: The Official Motocross Videogame,2019,Racing,Milestone,0.06,0.08,0,0.03,0.17
Ride 2,2018,Racing,Milestone S.r.l,0.07,0.06,0.01,0.03,0.16
Dead Rising 4,2019,Action-Adventure,Capcom,0.08,0.05,0,0.03,0.16
Putty Squad,2015,Platform,System 3,0.06,0.07,0,0.03,0.16
Digimon Story: Cyber Sleuth - Hacker's Memory,2019,Role-Playing,Namco Bandai Games,0.05,0.05,0.04,0.02,0.16
Battlezone,2018,Action,Sony Interactive Entertainment,0.09,0.04,0,0.03,0.16
Naruto Shippuden: Ultimate Ninja Storm Legacy,2019,Fighting,Namco Bandai Games,0.07,0.04,0.03,0.02,0.16
Berserk and the Band of the Hawk,2018,Action,Tecmo Koei,0.07,0.02,0.05,0.02,0.16
BlazBlue: Chrono Phantasma Extend,2017,Fighting,PQube,0.08,0.04,0.02,0.02,0.16
Pillars of Eternity,2019,Role-Playing,Paradox InteractiveÊ,0.11,0.02,0,0.03,0.16
Valkyria: Azure Revolution,2019,Role-Playing,Deep Silver,0.04,0.03,0.07,0.02,0.16
Gravity Rush Remastered,2017,Action-Adventure,Sony Computer Entertainment,0.02,0.06,0.05,0.02,0.16
Psycho-Pass: Mandatory Happiness,2018,Visual Novel,NIS America,0.1,0.02,0,0.03,0.15
Brothers: A Tale of Two Sons,2017,Adventure,505 Games,0.04,0.09,0,0.02,0.15
Warriors Orochi 3,2016,Action,Tecmo Koei,0.04,0.05,0.04,0.02,0.15
Wasteland 2,2017,Role-Playing,Deep Silver,0.1,0,0.03,0.02,0.15
Atelier Sophie: The Alchemist of the Mysterious Book,2017,Role-Playing,Tecmo Koei,0.04,0.03,0.07,0.01,0.15
NASCAR Heat Evolution,2018,Racing,Dusenberry Martin Racing,0.12,0,0,0.03,0.15
Yakuza: Ishin,2016,Adventure,Sega,0,0,0.15,0,0.15
Toukiden 2,2018,Action,Tecmo Koei,0.04,0,0.1,0.01,0.15
Song of the Deep,2018,Action,Insomniac Games,0.12,0,0,0.03,0.15
Super Robot Wars V,2019,Role-Playing,Namco Bandai Games,0,0,0.15,0,0.15
Blue Reflection: Maboroshi ni Mau - Shoujo no Ken,2019,Role-Playing,Tecmo Koei,0.07,0,0.06,0.02,0.14
Yonmegami Online: Cyber Dimension Neptune,2019,Role-Playing,Idea Factory International,0.06,0,0.07,0.01,0.14
Grand Kingdom,2017,Role-Playing,NIS America,0.08,0,0.04,0.02,0.14
Arslan: The Warriors of Legend,2018,Action,Tecmo Koei,0.03,0.04,0.06,0.01,0.14
Pro Cycling Manager 2018,2018,Sports,Focus Home Interactive,0,0.12,0,0.02,0.14
Shovel Knight,2017,Platform,Yacht Club Games,0.08,0.04,0,0.02,0.14
Adventure Time: Finn & Jake Investigations,2017,Action,Little Orbit,0.07,0.05,0,0.02,0.14
Guilty Gear Xrd -Revelator-,2018,Fighting,PQube,0.06,0,0.07,0.01,0.14
We Happy Few,2020,Action-Adventure,Gearbox Software,0.08,0.04,0,0.02,0.14
Rocksmith 2014 Edition Remastered,2018,Music,Ubisoft,0.11,0,0,0.03,0.14
The Crew: Wild Run,2017,Racing,Ubisoft,0,0.12,0,0.02,0.14
MXGP 2,2018,Racing,Milestone S.r.l.,0.05,0.06,0,0.02,0.14
MotoGP 17,2019,Racing,Koch Media,0.04,0.07,0,0.02,0.14
Fairy Fencer F: Advent Dark Force,2017,Role-Playing,Idea Factory International,0.06,0,0.06,0.01,0.14
Samurai Warriors 4-II,2017,Action,Tecmo Koei,0.04,0.02,0.07,0.01,0.13
The Golf Club,2016,Sports,Ravenscourt,0.09,0.02,0,0.02,0.13
Hatsune Miku: Project Diva X,2018,Music,Sega,0.08,0,0.04,0.02,0.13
NASCAR Heat 2,2019,Racing,505 Games,0.11,0,0,0.02,0.13
Bulletstorm: Full Clip Edition,2019,Shooter,Gearbox Software,0.05,0.06,0,0.02,0.13
Valentino Rossi: The Game,2018,Racing,Namco Bandai Games,0.05,0.05,0,0.02,0.13
Golf Club 2,2019,Sports,Maximum Games,0.05,0.06,0,0.02,0.13
Akiba's Trip 2,2016,Action,Acquire,0.09,0,0.02,0.02,0.13
Rugby 15,2017,Sports,Bigben Interactive,0.05,0.06,0,0.02,0.13
Utawarerumono: Futari no Hakuoro,2018,Visual Novel,Atlus,0.05,0,0.07,0.01,0.13
The Legend of Heroes: Trails of Cold Steel III,2019,Role-Playing,Nihon Falcom Corporation,0,0,0.13,0,0.13
Utawarerumono: Itsuwari no Kamen,2017,Adventure,Deep Silver,0.05,0,0.07,0.01,0.13
The Inpatient,2020,Action,Sony Interactive Entertainment,0.06,0.05,0,0.02,0.13
Don Bradman Cricket 14,2017,Sports,Tru Blu Entertainment,0.01,0.09,0,0.02,0.13
Sword Art Online: Hollow Fragment,2017,Role-Playing,Namco Bandai Games,0,0.11,0,0.02,0.12
Teenage Mutant Ninja Turtles: Mutants in Manhattan,2018,Action,Activision,0.07,0.03,0,0.02,0.12
Job Simulator,2019,Simulation,Sony Interactive Entertainment,0.1,0,0,0.02,0.12
Portal Knights,2019,Role-Playing,505 Games,0.02,0.05,0.03,0.01,0.12
Samurai Warriors 4: Empires,2017,Action,Tecmo Koei,0.03,0.01,0.07,0.01,0.12
Danganronpa 1o2 Reload,2019,Adventure,NIS America,0.08,0,0.02,0.02,0.12
God Eater 2: Rage Burst,2017,Role-Playing,Namco Bandai Games,0,0.01,0.11,0,0.12
America's Greatest Game Shows: Wheel of Fortune & Jeopardy!,2019,Misc,Ubisoft,0.1,0,0,0.02,0.12
Marvel's Guardians of the Galaxy: The Telltale Series,2019,Adventure,Warner Bros. Interactive Entertainment,0.06,0.04,0,0.02,0.12
Digimon Story: Cyber Sleuth,2018,Role-Playing,Namco Bandai Games,0,0.1,0,0.02,0.11
Constructor HD,2019,Strategy,System 3,0.09,0,0,0.02,0.11
Minecraft: Story Mode - Season Two,2019,Adventure,Telltale Games,0.09,0,0,0.02,0.11
Darksiders: Warmastered Edition,2018,Action-Adventure,THQ Nordic,0.07,0.02,0,0.02,0.11
Mighty No. 9,2018,Platform,Deep Silver,0.09,0,0,0.02,0.11
The Invisible Hours,2019,Adventure,GameTrust,0.09,0,0,0.02,0.11
Monster Energy Supercross - The Official Videogame,2020,Racing,Milestone S.r.l.,0.08,0.01,0,0.02,0.11
The Idolmaster: Platinum Stars,2018,Simulation,Namco Bandai Games,0,0,0.11,0,0.11
The Witch and the Hundred Knight,2017,Role-Playing,NIS America,0.03,0.01,0.06,0.01,0.11
SD Gundam G Generation Genesis,2018,Strategy,Namco Bandai Games,0,0,0.11,0,0.11
Rime,2019,Adventure,Grey Box,0.02,0.07,0,0.02,0.11
Super Robot Wars OG: The Moon Dwellers,2018,Misc,Namco Bandai Games,0,0,0.11,0,0.11
Gundam Breaker 3,2018,Action,Namco Bandai Games,0,0,0.11,0,0.11
Earth Defense Force 2025.1: The Shadow of New Despair,2017,Shooter,D3Publisher,0,0,0.11,0,0.11
Shadow Warrior (2013),2016,Shooter,Devolver Digital,0,0.09,0,0.02,0.11
Assassin's Creed Chronicles,2018,Action,Ubisoft,0.02,0.05,0.02,0.01,0.11
Mega Man Legacy Collection,2018,Platform,Capcom,0.09,0,0,0.02,0.11
Pac-Man Championship Edition 2 + Arcade Game Series,2019,Action,Namco Bandai Games,0.08,0,0,0.02,0.1
Tokyo Xanadu eX+,2018,Role-Playing,Nihon Falcom Corporation,0.05,0,0.05,0.01,0.1
Stardew Valley,2019,Simulation,505 Games,0.04,0.04,0,0.02,0.1
Romance of the Three Kingdoms 13,2017,Action,Tecmo Koei,0.03,0,0.06,0.01,0.1
Musou Stars,2019,Action,Tecmo Koei,0.03,0,0.06,0.01,0.1
Mega Man Legacy Collection 2,2019,Action,Capcom,0.06,0,0.02,0.01,0.1
Final Fantasy XIV Online Complete Edition,2019,MMO,Square Enix,0.07,0,0.02,0.02,0.1
Devil May Cry 4,2017,Action,Capcom,0.01,0,0.09,0,0.1
Puyo Puyo Tetris,2016,Puzzle,Sega,0.05,0.03,0,0.02,0.1
Natural Doctrine,2016,Role-Playing,NIS America,0.05,0.02,0.02,0.01,0.1
Sudden Strike 4,2019,Strategy,Kalypso Media,0.05,0.03,0.01,0.02,0.1
Accel World vs. Sword Art Online: Millennium Twilight,2019,Action,Namco Bandai Games,0,0.03,0.06,0.01,0.1
Wolfenstein The Two Pack,2019,Shooter,Bethesda Softworks,0.08,0,0,0.02,0.1
Guilty Gear Xrd REV 2,2019,Fighting,PQube,0.04,0.01,0.03,0.01,0.1
Let's Sing 2016,2017,Music,Ravenscourt,0.08,0,0,0.02,0.1
Resident Evil 4 HD,2018,Action-Adventure,Capcom,0.07,0,0.01,0.02,0.1
Nights of Azure 2,2019,Action,Tecmo Koei,0.04,0,0.04,0.01,0.09
The Technomancer,2018,Role-Playing,Focus Home Interactive,0.04,0.04,0,0.02,0.09
Nights of Azure,2017,Action,Tecmo Koei,0.04,0.04,0,0.02,0.09
Taiko no Tatsujin: Drum Session!,2019,Music,Namco Bandai Games,0,0,0.09,0,0.09
Nobunaga's Ambition: Sphere of Influence - Sengoku Risshiden,2018,Strategy,Tecmo Koei,0.03,0,0.06,0.01,0.09
Grand Ages: Medieval,2017,Strategy,Kalypso Media,0,0.05,0.03,0.01,0.09
Rugby League Live 4,2019,Sports,Tru Blu Entertainment,0,0.08,0,0.01,0.09
Toy Soldiers: War Chest,2017,Action,Ubisoft,0.07,0,0,0.02,0.09
God Eater Resurrection,2017,Action,Namco Bandai Games,0,0,0.09,0,0.09
Paragon,2018,Action,Sony Interactive Entertainment,0.07,0,0,0.02,0.09
Summon Night 6: Lost Borders,2018,Role-Playing,Gaijinworks,0.03,0,0.05,0.01,0.09
Black Rose Valkyrie,2018,Role-Playing,Idea Factory International,0.04,0,0.04,0.01,0.09
Duke Nukem 3D: 20th Anniversary World Tour,2018,Shooter,Gearbox Software,0.07,0,0,0.02,0.09
ATV Drift & Tricks,2019,Racing,Funbox Media,0.07,0,0,0.02,0.09
Yoru no Nai Kuni,2017,Role-Playing,Tecmo Koei,0,0,0.09,0,0.09
Lara Croft and the Temple of Osiris,2016,Action,Square Enix,0,0.07,0,0.01,0.09
Ghostbusters (2018),2018,Action,Activision,0.07,0,0,0.02,0.08
Agatha Christie's The ABC Murders,2018,Adventure,Microids,0.05,0.02,0,0.02,0.08
Shantae: Half-Genie Hero,2018,Platform,Xseed Games,0.06,0,0.01,0.01,0.08
Earth Defense Force 4.1: The Shadow of New Despair,2017,Shooter,PQube,0.05,0.02,0,0.01,0.08
The Sexy Brutale,2019,Adventure,Badland Studio,0.05,0.02,0,0.01,0.08
Legend of Kay,2017,Action,Nordic Games,0.03,0.03,0,0.01,0.08
Hasbro Family Fun Pack Conquest Edition,2018,Misc,Ubisoft,0.07,0,0,0.02,0.08
Loading Human,2018,Adventure,Maximum Games,0.05,0.02,0,0.01,0.08
Rapala Fishing Pro Series,2019,Simulation,GameMill,0.06,0,0,0.02,0.08
Atelier Firis: The Alchemist of the Mysterious Journey,2018,Role-Playing,Tecmo Koei,0.02,0,0.05,0.01,0.08
Dead Rising,2018,Action,Capcom,0.04,0,0.02,0.01,0.08
Assetto Corsa,2018,Racing,505 Games,0,0.06,0.01,0.01,0.08
Akiba's Beat,2018,Action,PQube,0.05,0,0.01,0.01,0.08
WRC 6,2018,Racing,PQube,0.03,0.02,0.01,0.01,0.08
God Wars: Future Past,2019,Role-Playing,NIS America,0.03,0.01,0.02,0.01,0.07
Resident Evil 5 HD,2018,Action,Capcom,0.05,0,0.01,0.01,0.07
The Witch and the Hundred Knights 2,2019,Role-Playing,Nippon Ichi Software,0.03,0,0.03,0.01,0.07
Samurai Warriors: Sanada Maru,2018,Action,Tecmo Koei,0.02,0,0.05,0.01,0.07
Project Setsuna,2018,Role-Playing,Square Enix,0,0,0.07,0,0.07
Has-Been Heroes,2019,Action,GameTrust,0.06,0,0,0.01,0.07
Fortune Street: Dragon Quest & Final Fantasy 30th Anniversary,2019,Misc,Square Enix,0,0,0.07,0,0.07
Styx: Shards of Darknes,2019,Action,Focus Home Interactive,0.06,0,0,0.01,0.07
Dead Rising 2,2018,Action,Capcom,0.04,0,0.02,0.01,0.07
The Book of Unwritten Tales 2,2017,Adventure,Nordic Games,0,0.06,0,0.01,0.07
Touhou Genso Rondo: Bullet Ballet,2018,Shooter,NIS America,0.06,0,0,0.01,0.07
The Walking Dead: A Telltale Series Collection,2019,Adventure,Warner Bros. Interactive Entertainment,0.06,0,0,0.01,0.07
The Silver Case,2019,Visual Novel,NIS America,0.05,0,0.01,0.01,0.07
Hunting Simulator,2019,Shooter,Bigben Interactive,0.06,0,0,0.01,0.07
WRC 7,2019,Racing,Bigben Interactive,0.06,0,0,0.01,0.07
Kamen Rider: Battride War Genesis,2018,Action,Namco Bandai Games,0,0,0.07,0,0.07
Le Tour de France 2019,2019,Simulation,Focus Home Interactive,0,0.06,0,0.01,0.07
City Shrouded in Shadow,2019,Action-Adventure,Namco Bandai Games,0,0,0.07,0,0.07
SG/ZH: School Girl/Zombie Hunter,2019,Action,Aksys Games,0.04,0,0.02,0.01,0.07
Broken Sword 5: The Serpent's Curse,2017,Adventure,Revolution Software,0,0.06,0,0.01,0.07
Terraria,2016,Action,505 Games,0,0.05,0.01,0.01,0.07
Warhammer: The End Times - Vermintide,2018,Action,Games Workshop,0.03,0.03,0,0.01,0.07
Batman: The Enemy Within,2019,Adventure,Telltale Games,0.05,0,0,0.01,0.07
Atari Flashback Classics: Volume 1,2018,Misc,Atari,0.05,0,0,0.01,0.07
Legend of Kay Anniversary,2017,Action,Nordic Games,0,0.06,0,0.01,0.07
Steins;Gate 0,2017,Adventure,PQube,0,0,0.07,0,0.07
ZombiU,2018,Action,Ubisoft,0,0.04,0.01,0.01,0.07
Risen 3: Titan Lords,2017,Role-Playing,Deep Silver,0,0.06,0,0.01,0.07
Mark McMorris Infinite Air,2018,Sports,Maximum Games,0.05,0,0,0.01,0.06
Dead or Alive Xtreme 3: Fortune,2018,Sports,Tecmo Koei,0,0,0.06,0,0.06
Birthdays the Beginning,2019,Misc,NIS America,0.05,0,0,0.01,0.06
Rugby 18,2019,Sports,Koch Media,0.05,0,0,0.01,0.06
The Binding of Isaac,2019,Misc,Nicalis,0.05,0,0,0.01,0.06
Sherlock Holmes: The Devil's Daughter,2018,Adventure,Bigben Interactive,0.05,0,0,0.01,0.06
Atelier Liddy and Soeur: Alchemists of the Mysterious Painting,2019,Role-Playing,Tecmo Koei,0.03,0,0.03,0.01,0.06
MX vs. ATV Supercross Encore,2017,Sports,Nordic Games,0,0.05,0,0.01,0.06
MX vs ATV Supercross Encore 2019 Track Edition,2019,Racing,THQ Nordic,0.05,0,0,0.01,0.06
Sword Art Online: Game Director's Edition,2017,Role-Playing,Namco Bandai Games,0,0,0.06,0,0.06
Deformers,2019,Action,Ready at Dawn,0.05,0,0,0.01,0.06
Nobunaga no Yabou: Souzou,2016,Strategy,Tecmo Koei,0,0,0.06,0,0.06
Dragon Quest X: All in One Package,2019,Role-Playing,Square Enix,0,0,0.06,0,0.06
Yomawari: Midnight Shadows,2019,Action,NIS America,0.02,0,0.04,0,0.06
Game of Thrones (Telltale),2017,Adventure,Telltale Games,0.05,0,0,0.01,0.06
Atari Flashback Classics: Volume 2,2018,Misc,Atari,0.05,0,0,0.01,0.06
Outcast: Second Contact,2019,Adventure,Maximum Games,0.05,0,0,0.01,0.06
Cartoon Network Battle Crashers,2018,Action,Maximum Games,0.05,0,0,0.01,0.06
Handball 16,2017,Sports,Bigben Interactive,0,0.05,0,0.01,0.06
Extinction,2020,Action,Maximum Games,0.05,0,0,0.01,0.06
Rugby World Cup 2017,2017,Sports,Big Ben Interactive,0,0.05,0,0.01,0.06
Exist Archive: The Other Side of the Sky,2017,Role-Playing,Aksys Games,0.02,0,0.03,0,0.06
King's Quest: The Complete Collection,2018,Adventure,Activision,0.05,0,0,0.01,0.06
Sine Mora,2019,Action,THQ Nordic,0.03,0.01,0,0.01,0.06
Aven Colony,2019,Strategy,Sold Out,0.04,0.01,0,0.01,0.06
Battle Chasers: Nightwar,2019,Role-Playing,THQ Nordic,0.03,0.02,0,0.01,0.06
WRC 5: FIA World Rally Championship,2017,Racing,Bigben Interactive,0,0.05,0,0.01,0.06
Black Mirror,2019,Adventure,THQ Nordic,0.04,0,0,0.01,0.05
Touhou Genso Wanderer,2019,Action,NIS America,0.04,0,0,0.01,0.05
Arcania: Gothic 4,2017,Role-Playing,Nordic Games,0.04,0,0,0.01,0.05
Starblood Arena VR,2019,Shooter,Sony Interactive Entertainment,0.04,0,0,0.01,0.05
Hellblade,2020,Action-Adventure,505 Games,0.03,0.01,0,0.01,0.05
Bubsy: The Woolies Strike Back,2019,Platform,Accolade,0.04,0,0,0.01,0.05
Nitroplus Blasterz: Heroines Infinite Duel,2017,Fighting,Marvelous Interactive,0.01,0.01,0.03,0,0.05
Nobunaga's Ambition: Creation,2016,Strategy,Tecmo Koei,0.04,0,0,0.01,0.05
Child of Light,2016,Role-Playing,Ubisoft,0,0.01,0.04,0,0.05
Phantasy Star Online 2 Episode 4: Deluxe Package,2019,Role-Playing,Sega,0,0,0.05,0,0.05
Saints Row: Gat out of Hell,2017,Action,Deep Silver,0,0.04,0,0.01,0.05
Werewolves Within,2018,Misc,Ubisoft,0.04,0,0,0.01,0.05
Demon Gaze 2,2019,Role-Playing,NIS America,0.04,0,0,0.01,0.05
Real Farm,2019,Simulation,Soedesco,0.04,0,0,0.01,0.05
Worms: WMD,2018,Strategy,Team17 Digital Ltd,0.02,0.02,0,0.01,0.05
Syberia III,2019,Adventure,Microids,0.04,0,0,0.01,0.05
Sengoku Basara: Sanada Yukimura-Den,2018,Action,Capcom,0,0,0.05,0,0.05
Sengoku Basara 4: Sumeragi,2017,Action,Capcom,0,0,0.05,0,0.05
SŽbastien Loeb Rally Evo,2018,Racing,Milestone S.r.l,0,0.04,0,0.01,0.05
Don't Starve,2020,Adventure,505 Games,0.04,0,0,0.01,0.05
Monster Jam: Crush It,2018,Racing,GameMill,0.04,0,0,0.01,0.05
Prison Architect,2018,Simulation,Introversion Software,0.02,0.02,0,0.01,0.05
Assault Suit Leynos,2018,Shooter,Rising Star Games,0.04,0,0,0.01,0.05
Tokyo Twilight Ghost Hunters Daybreak: Special Gigs,2018,Adventure,NIS America,0.04,0,0,0.01,0.05
Overcooked,2018,Action,Sold Out,0.04,0,0,0.01,0.05
Ben 10 (2019),2019,Action,Outright Games,0.04,0,0,0.01,0.05
Dead Alliance,2019,Shooter,Maximum Games,0.04,0,0,0.01,0.04
Deer Hunter Reloaded,2019,Shooter,Maximum Games,0.04,0,0,0.01,0.04
That's You,2019,Party,Sony Interactive Entertainment,0.04,0,0,0.01,0.04
Raid: World War II,2019,Shooter,505 Games,0.04,0,0,0.01,0.04
Hyperdimension Neptunia Victory II,2017,Role-Playing,Idea Factory International,0,0,0.04,0,0.04
Zero Escape The Nonary Games,2019,Adventure,Aksys Games,0.03,0,0.01,0.01,0.04
Rugby Challenge 3,2018,Sports,Alternative Software,0,0.04,0,0.01,0.04
Vikings: Wolves of Midgard,2019,Action,Kalypso Media,0.03,0.01,0,0.01,0.04
INSIDE / LIMBO Double Pack,2019,Platform,505 Games,0.04,0,0,0.01,0.04
The Talos Principle,2017,Puzzle,Nighthawk Interactive,0,0.04,0,0.01,0.04
Megadimension Neptunia VIIR,2019,Role-Playing,Compile Heart,0.01,0,0.03,0,0.04
R.B.I. Baseball 2018,2018,Sports,MLB.com,0.04,0,0,0.01,0.04
Pure Farming 2020,2020,Simulation,Techland,0.02,0.01,0,0.01,0.04
Air Conflicts: Secret Wars,2018,Simulation,Nighthawk Interactive,0.03,0,0,0.01,0.04
Anima - Gate of Memories,2018,Action,Avanquest,0.01,0.02,0,0.01,0.04
Axiom Verge,2019,Action,Badland Studio,0.03,0,0,0.01,0.04
Unbox: Newbie's Adventure,2019,Action,Merge Games,0.03,0,0,0.01,0.04
Here They Lie,2018,Adventure,Sony Interactive Entertainment,0,0.03,0,0.01,0.04
Under Night In-Birth Exe:Latest,2019,Fighting,Arc System Works,0.01,0,0.03,0,0.04
Aragami,2018,Action,Maximum Games,0.03,0,0,0.01,0.04
Yonder: The Cloud Catcher Chronicles,2019,Action,CokeM Interactive,0.03,0,0,0.01,0.04
Assassin's Creed Chronicles: China,2017,Action-Adventure,Ubisoft,0,0.03,0,0.01,0.04
JoJo's Bizarre Adventure: Eyes of Heaven,2017,Fighting,Namco Bandai Games,0,0,0.04,0,0.04
Dungeons 3,2019,Strategy,Kalypso Media,0.03,0,0,0.01,0.04
Tour de France 2016,2016,Sports,Focus Home Interactive,0,0.03,0,0.01,0.04
Danganronpa Another Episode: Ultra Despair Girls,2019,Shooter,NIS America,0.03,0,0.01,0.01,0.04
Aegis of Earth: Protonovus Assault,2018,Action,PQube,0.03,0.01,0,0.01,0.04
Just Sing,2018,Music,Ubisoft,0.03,0,0,0.01,0.04
Wonder Boy: The Dragon's Trap (Remake),2020,Platform,Nicalis,0.03,0,0,0.01,0.04
Lumo,2018,Puzzle,Rising Star Games,0.03,0,0,0.01,0.04
ABZU,2019,Adventure,505 Games,0.03,0,0,0.01,0.04
Shadow Tactics: Blades of the Shogun,2019,Strategy,Kalypso Media,0.02,0.01,0,0.01,0.04
Darkest Dungeon,2020,Role-Playing,Merge Games,0.02,0,0.01,0.01,0.04
R.B.I. Baseball 2019,2019,Sports,MLB.com,0.03,0,0,0.01,0.04
Punch Line,2017,Adventure,5pb,0.03,0,0,0.01,0.04
VR Karts,2019,Racing,Perp Games,0.03,0,0,0.01,0.04
Resident Evil: Umbrella Corps,2018,Shooter,Capcom,0,0,0.04,0,0.04
